ID: 6a58d7af32a2f7e59ff980a7 | Name: "super_admin" | Scope: "system" | Privileges: ["create","read","update","delete","provision_tenant","manage_billing","audit_logs","manage_configs","create_roles","read_roles","update_roles","delete_roles"]
ID: 6a58d7af32a2f7e59ff980a9 | Name: "system_manager" | Scope: "system" | Privileges: ["read","update","monitor_usage","manage_configs"]
ID: 6a58d7af32a2f7e59ff980ab | Name: "system_executive" | Scope: "system" | Privileges: ["read","create_reports","export_data"]
ID: 6a58d7b032a2f7e59ff980ad | Name: "helpdesk" | Scope: "system" | Privileges: ["read","impersonate_user"]
ID: 6a58d7b032a2f7e59ff980af | Name: "system_user" | Scope: "system" | Privileges: ["read","update_limited"]
ID: 6a58d7b032a2f7e59ff980b1 | Name: "tenant_admin" | Scope: "tenant" | Privileges: ["create_user","read_user","update_user","delete_user","manage_clients","audit_logs","create_gps","update_gps","read_gps","delete_gps","read_gps_allocation","allocate_gps","unallocate_gps_allocation","delete_gps_allocation","create_heartbeat","map_device_to_vehicle","read_mapped_device_to_vehicle","update_mapped_device_to_vehicle","delete_mapped_device_to_vehicle","read_roles","create_vehicle","read_vehicle","update_vehicle","delete_vehicle"]
ID: 6a58d7b032a2f7e59ff980b3 | Name: "tenant_manager" | Scope: "tenant" | Privileges: ["create_client","read_client","update_client","assign_resources"]
ID: 6a58d7b032a2f7e59ff980b5 | Name: "tenant_executive" | Scope: "tenant" | Privileges: ["read","create_reports","export_data"]
ID: 6a58d7b032a2f7e59ff980b7 | Name: "tenant_helpdesk" | Scope: "tenant" | Privileges: ["read","support_tickets"]
ID: 6a58d7b132a2f7e59ff980b9 | Name: "tenant_user" | Scope: "tenant" | Privileges: ["read","update_limited"]
ID: 6a58d7b132a2f7e59ff980bb | Name: "fleet_operator" | Scope: "tenant" | Privileges: ["read","update_trip_status","report_issue"]
ID: 6a58d7b132a2f7e59ff980bd | Name: "client_admin" | Scope: "client" | Privileges: ["create_user","read_user","update_user","delete_user","manage_resources","approve_trips","create_trips","read_trips","update_trips","delete_trips","create_driver","read_driver","update_driver","delete_driver","create_driver_assignment","read_driver_assignment","update_driver_assignment","delete_driver_assignment","read_vehicle","check_availability","read_alert","create_alert","update_alert","delete_alert"]
ID: 6a58d7b132a2f7e59ff980bf | Name: "client_manager" | Scope: "client" | Privileges: ["create_resources","read_resources","update_resources"]
ID: 6a58d7b132a2f7e59ff980c1 | Name: "client_operator" | Scope: "client" | Privileges: ["read_resources","update_trip_status","report_issue"]
ID: 6a58d7b132a2f7e59ff980c3 | Name: "client_viewer" | Scope: "client" | Privileges: ["read_resources","export_reports"]
ID: 6a59dcf765a62309cb0b5356 | Name: "sales_rep" | Scope: "client" | Privileges: ["create_user","read_user","update_user","delete_user","manage_resources","approve_trips","create_trips","read_trips","update_trips","delete_trips","create_driver","read_driver","update_driver","delete_driver","create_driver_assignment","read_driver_assignment","update_driver_assignment","delete_driver_assignment","read_vehicle","check_availability"]
ID: 6a59dda465a62309cb0b5357 | Name: "technician" | Scope: "client" | Privileges: ["create_user","read_user","update_user","delete_user","manage_resources","approve_trips","create_trips","read_trips","update_trips","delete_trips","create_driver","read_driver","update_driver","delete_driver","create_driver_assignment","read_driver_assignment","update_driver_assignment","delete_driver_assignment","read_vehicle","check_availability"]
ID: 6a59e525dc3e9a058df4abc2 | Name: "salesperson" | Scope: "tenant" | Privileges: ["read_clients"]
